epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1027,0.93317,0.49915,0.80021,0.78004,0.53712,0.58577,0.41767,0.78052,0.3874,0.78784,0.000550749,0.000550749,0.000550749
2,37.0811,0.81605,0.37781,0.78847,0.78603,0.54629,0.60118,0.41917,0.80071,0.38596,0.78844,0.00108451,0.00108451,0.00108451
3,55.7598,0.7825,0.36298,0.78419,0.76636,0.54496,0.58621,0.42049,0.78726,0.38175,0.78901,0.00159626,0.00159626,0.00159626
4,72.9712,0.87212,0.38468,0.79073,0.716,0.54923,0.57827,0.41218,0.81136,0.38573,0.78961,0.00156798,0.00156798,0.00156798
5,90.2032,0.76033,0.34833,0.78366,0.74912,0.55212,0.58399,0.42429,0.74526,0.39654,0.78573,0.00153497,0.00153497,0.00153497
6,108.707,0.73429,0.33922,0.78407,0.74442,0.57022,0.59137,0.42005,0.75388,0.39305,0.78711,0.00150197,0.00150197,0.00150197
7,126.126,0.72727,0.34112,0.7822,0.74474,0.55415,0.58665,0.42967,0.74665,0.39495,0.78354,0.00146896,0.00146896,0.00146896
8,144.743,0.75215,0.34733,0.78489,0.65533,0.55156,0.57578,0.41274,0.78245,0.38338,0.78841,0.00143595,0.00143595,0.00143595
9,162.026,0.75064,0.35745,0.7843,0.75874,0.55089,0.58816,0.41593,0.82555,0.40099,0.78898,0.00140295,0.00140295,0.00140295
10,179.154,0.71409,0.33361,0.78262,0.67094,0.54798,0.57605,0.42515,0.74209,0.38673,0.78457,0.00136994,0.00136994,0.00136994
11,196.528,0.72105,0.3335,0.78308,0.70549,0.55197,0.58193,0.4335,0.72121,0.36809,0.78508,0.00133693,0.00133693,0.00133693
12,215.11,0.69143,0.3234,0.78202,0.73746,0.55015,0.60197,0.43836,0.71956,0.36569,0.78499,0.00130393,0.00130393,0.00130393
13,233.699,0.69034,0.3209,0.78015,0.77599,0.56893,0.61283,0.44337,0.72961,0.35966,0.786,0.00127092,0.00127092,0.00127092
14,252.331,0.66408,0.31409,0.77981,0.61275,0.552,0.559,0.42438,0.73233,0.36707,0.78687,0.00123791,0.00123791,0.00123791
15,269.56,0.67036,0.31591,0.7804,0.63713,0.55431,0.57321,0.43966,0.6813,0.36362,0.7823,0.00120491,0.00120491,0.00120491
16,286.841,0.64735,0.30586,0.7804,0.69031,0.55325,0.57839,0.42744,0.72557,0.36088,0.78605,0.0011719,0.0011719,0.0011719
17,304.003,0.66159,0.30929,0.77932,0.6083,0.54898,0.54581,0.42145,0.70603,0.36415,0.78425,0.00113889,0.00113889,0.00113889
18,321.165,0.64605,0.3032,0.77793,0.73601,0.55162,0.58529,0.43541,0.70276,0.36129,0.78457,0.00110589,0.00110589,0.00110589
19,338.298,0.63748,0.30048,0.77832,0.59968,0.54788,0.55911,0.41433,0.78382,0.37355,0.78738,0.00107288,0.00107288,0.00107288
20,355.682,0.65808,0.30588,0.7792,0.75362,0.54617,0.59708,0.43906,0.71847,0.36063,0.78568,0.00103987,0.00103987,0.00103987
21,372.896,0.63874,0.29869,0.7793,0.68303,0.56717,0.58673,0.42927,0.74062,0.36467,0.78623,0.00100687,0.00100687,0.00100687
22,390.093,0.67893,0.30971,0.77883,0.6114,0.55032,0.56481,0.42298,0.75321,0.3673,0.78845,0.000973861,0.000973861,0.000973861
23,407.265,0.64236,0.29735,0.77846,0.70653,0.54324,0.5934,0.42688,0.793,0.37279,0.78931,0.000940855,0.000940855,0.000940855
24,424.724,0.62711,0.29486,0.77841,0.71469,0.55179,0.6074,0.44019,0.73697,0.36651,0.78516,0.000907848,0.000907848,0.000907848
25,441.844,0.61195,0.29064,0.77718,0.71496,0.54313,0.58544,0.43298,0.72759,0.37088,0.78541,0.000874842,0.000874842,0.000874842
