epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8472,0.5856,0.27509,0.77518,0.68302,0.56265,0.59913,0.43772,0.73699,0.36437,0.78553,0.000550749,0.000550749,0.000550749
2,36.8552,0.59445,0.28209,0.77696,0.61161,0.55253,0.57003,0.43068,0.73378,0.38281,0.78518,0.00109911,0.00109911,0.00109911
3,54.0422,0.61731,0.29139,0.77568,0.72877,0.55413,0.59706,0.43956,0.71948,0.35761,0.7863,0.00164014,0.00164014,0.00164014
4,72.6326,0.62078,0.29333,0.77705,0.63791,0.55729,0.57616,0.43556,0.70304,0.37017,0.78592,0.00163399,0.00163399,0.00163399
5,89.9429,0.608,0.28861,0.77549,0.62402,0.56673,0.57508,0.42415,0.73966,0.38085,0.78541,0.00162299,0.00162299,0.00162299
6,107.086,0.60938,0.29027,0.77747,0.58196,0.56772,0.56594,0.43081,0.70215,0.36911,0.78375,0.00161199,0.00161199,0.00161199
7,124.332,0.64202,0.29502,0.77681,0.60454,0.55174,0.55936,0.42752,0.71797,0.36499,0.78462,0.00160099,0.00160099,0.00160099
8,141.453,0.61136,0.28666,0.77739,0.62728,0.56061,0.57743,0.42291,0.77923,0.36698,0.78666,0.00158998,0.00158998,0.00158998
9,158.582,0.60129,0.28716,0.77627,0.70761,0.55202,0.60305,0.43417,0.7627,0.39374,0.78893,0.00157898,0.00157898,0.00157898
10,175.77,0.61807,0.29484,0.77754,0.77781,0.54829,0.61261,0.45026,0.71013,0.35867,0.78499,0.00156798,0.00156798,0.00156798
11,194.494,0.59726,0.28724,0.77632,0.64716,0.55968,0.58183,0.43285,0.705,0.35939,0.78552,0.00155698,0.00155698,0.00155698
12,211.722,0.60948,0.2894,0.77749,0.67886,0.53696,0.58869,0.42609,0.76458,0.38149,0.79036,0.00154598,0.00154598,0.00154598
13,228.844,0.61074,0.28701,0.77615,0.64875,0.56268,0.58489,0.42353,0.80332,0.38581,0.78848,0.00153497,0.00153497,0.00153497
14,246.071,0.59346,0.28326,0.77629,0.73132,0.55428,0.59859,0.43974,0.73793,0.36264,0.78743,0.00152397,0.00152397,0.00152397
15,263.353,0.59627,0.28309,0.77673,0.60731,0.55426,0.56771,0.42198,0.76407,0.38124,0.7881,0.00151297,0.00151297,0.00151297
16,283.436,0.59939,0.29042,0.77785,0.77173,0.55255,0.61235,0.43885,0.76718,0.38301,0.78844,0.00150197,0.00150197,0.00150197
17,303.082,0.5944,0.28841,0.7763,0.6288,0.54271,0.57233,0.43032,0.73808,0.37302,0.7863,0.00149096,0.00149096,0.00149096
18,322.985,0.60198,0.28867,0.77556,0.64878,0.54997,0.58223,0.44022,0.69098,0.3625,0.78392,0.00147996,0.00147996,0.00147996
19,340.598,0.59162,0.28246,0.77578,0.54524,0.54206,0.5334,0.40727,0.76764,0.37347,0.78921,0.00146896,0.00146896,0.00146896
20,357.838,0.59945,0.28562,0.77637,0.74583,0.5508,0.60422,0.43829,0.75916,0.37581,0.78942,0.00145796,0.00145796,0.00145796
21,375.121,0.60073,0.28478,0.77718,0.60563,0.55375,0.56453,0.42545,0.72944,0.37837,0.78674,0.00144696,0.00144696,0.00144696
22,394.876,0.59415,0.28546,0.77506,0.66092,0.55941,0.60269,0.43642,0.75846,0.36198,0.78835,0.00143595,0.00143595,0.00143595
23,414.567,0.59455,0.28443,0.77574,0.53273,0.60474,0.59036,0.4359,0.74698,0.35904,0.787,0.00142495,0.00142495,0.00142495
24,434.352,0.58315,0.2798,0.77564,0.61182,0.54695,0.57745,0.42912,0.75512,0.37521,0.78908,0.00141395,0.00141395,0.00141395
